Project,Task ID,Title,Column,Priority,Labels,Description,Created
"Options Chain Analyzer","task-oca-21","Deploy v1.8.5 with earnings fix","done","urgent","deployed; release","Deployed v1.8.5 - earnings no longer blocks trades, strategies now generate with confidence penalties applied.","2026-02-08T05:06:56.861Z"
"Options Chain Analyzer","task-oca-22","Fix empty strategies - delta fallback (v1.8.6)","done","urgent","bug-fix; v1.8.6","Strategies array was empty because Polygon Greeks were missing/zero. Added fallback delta estimation based on moneyness. Lowered filters: OI >= 10, bid >= $0.05, IV rank >= 30%.","2026-02-08T05:06:56.861Z"
"Options Chain Analyzer","task-oca-23","Deploy v1.8.6 with delta fix","done","urgent","deployed; release","Deployed v1.8.6 - strategies now generate using estimated deltas when Greeks unavailable.","2026-02-08T05:06:56.861Z"
"Options Chain Analyzer","task-oca-24","HTML email template with action recommendations (v1.8.7)","done","high","feature; v1.8.7","Reformatted email output as professional HTML with card-based layout, color-coded confidence levels, and action recommendations (CONSIDER ENTRY, CAUTION, WATCHLIST, AVOID).","2026-02-08T05:06:56.861Z"
"Options Chain Analyzer","task-oca-25","Deploy v1.8.7 with HTML email","done","urgent","deployed; release","Deployed v1.8.7 - professional HTML email report with action recommendations and color-coded confidence levels.","2026-02-08T05:06:56.861Z"
"Options Chain Analyzer","task-oca-26","Fix earnings API endpoint (v1.8.8)","done","urgent","bug-fix; v1.8.8","Fixed critical bug: FMP /earning_calendar?symbol= endpoint was returning ALL companies' earnings dates, not just the requested ticker. Changed to /historical/earning_calendar/{ticker} which returns ticker-specific data. MSFT now correctly shows April 29, 2026 earnings (not March 6).","2026-02-08T05:06:56.861Z"
"Options Chain Analyzer","task-oca-27","Deploy v1.8.8 with earnings fix","done","urgent","deployed; release","Deployed v1.8.8 - earnings dates now correctly pulled for each specific ticker instead of random companies.","2026-02-08T05:06:56.861Z"
"Options Chain Analyzer","task-oca-28","Add DTE display to email (v1.8.9)","done","medium","feature; v1.8.9","Added Days To Expiration (DTE) badge next to expiration date in email. Calculates: expiration date - today = DTE. Display format: ""2026-03-20 (45 DTE)""","2026-02-08T05:06:56.861Z"
"Options Chain Analyzer","task-oca-29","Deploy v1.8.9 with DTE display","done","medium","deployed; release","Deployed v1.8.9 - email now shows Days To Expiration next to each expiration date.","2026-02-08T05:06:56.861Z"
"Options Chain Analyzer","task-oca-30","Add Greeks display in email (v1.10.0)","done","high","feature; v1.10.0","Show Delta, Theta, and IV for each opportunity. Theta shows daily time decay. Added estimateTheta() for contracts without Greeks.","2026-02-08T05:06:56.861Z"
"Options Chain Analyzer","task-oca-31","Add breakeven price display (v1.10.0)","done","high","feature; v1.10.0","Show breakeven price for each strategy with % from current. Bull Put: short strike - credit. CSP: strike - premium. Iron Condor: upper/lower. Jade Lizard: short put - credit.","2026-02-08T05:06:56.861Z"
"Options Chain Analyzer","task-oca-32","Add risk/reward ratio display (v1.10.0)","done","high","feature; v1.10.0","Display R:R ratio (e.g., ""R:R 1:2.3"") for each strategy. Calculated as maxLoss/maxProfit. Green badge next to Greeks.","2026-02-08T05:06:56.861Z"
"Options Chain Analyzer","task-oca-37","Deploy v1.10.0 with Greeks, Breakeven, R:R","done","urgent","deployed; release","Deployed v1.10.0 with all three high-priority features: Greeks display, breakeven prices, and risk/reward ratios.","2026-02-08T05:06:56.861Z"
"Options Chain Analyzer","task-oca-33","Add VIX-level strategy adjustment","done","medium","enhancement","Implemented in v2.0.0: Fetches VIX data and classifies into 5 regimes. High VIX (>20) favors premium selling with reduced sizing, low VIX (<15) uses full sizing. Includes VIX percentile and term structure.","2026-02-08T05:06:56.861Z"
"Options Chain Analyzer","task-oca-34","Add 50% profit target alert (v1.10.1)","done","medium","feature; v1.10.1","Calculate debit to close at 50% of max profit. Formula: credit/2 = target debit. Standard risk management practice for premium selling.","2026-02-08T05:06:56.861Z"
"Options Chain Analyzer","task-oca-35","Add sector diversification warning","backlog","medium","enhancement","Warn if multiple opportunities are in same sector (e.g., ""⚠️ 3 of 4 opportunities are Tech"").","2026-02-08T05:06:56.861Z"
"Options Chain Analyzer","task-oca-36","Add liquidity score display (v1.10.2)","done","medium","feature; v1.10.2","Liquidity score (1-10) based on bid-ask spread tightness (0-5 pts) + open interest (0-4 pts) + volume bonus (0-1 pt). Flags illiquid options (score <=4) with warning.","2026-02-08T05:06:56.861Z"
"Options Chain Analyzer","task-oca-38","Deploy v1.10.1 with 50% profit target","done","high","deployed; release","Deployed v1.10.1 with 50% profit target calculation in email report.","2026-02-08T05:06:56.861Z"
"Options Chain Analyzer","task-oca-39","Add Telegram summary notification (v1.10.2)","done","medium","feature; v1.10.2","Added Telegram bot integration to send summary of opportunities to @rlandino_market_bot. Includes top pick details and other opportunities list.","2026-02-08T05:06:56.861Z"
"Options Chain Analyzer","task-oca-40","Deploy v1.10.2 with Liquidity + Telegram","done","urgent","deployed; release","Deployed v1.10.2 with liquidity score display and Telegram summary notifications. Successfully tested - execution ID 3349.","2026-02-08T05:06:56.861Z"
"Options Chain Analyzer","task-oca-41","Fix Telegram empty messages (v1.10.3)","done","urgent","bug-fix; v1.10.3","Fixed bug where Telegram messages were empty. Root cause: Telegram nodes were connected AFTER Email nodes in sequence, receiving only Email metadata instead of telegramMessage. Fix: Changed connections so Telegram runs IN PARALLEL with Email from Has Opportunities? node.","2026-02-08T05:06:56.861Z"
"Claude Skills Factory","task-skills-1","Build Kanban Board web app","done","high","feature; completed","React + Vite + TypeScript + Tailwind + Zustand with drag-and-drop","2026-02-08T05:06:56.861Z"
"Claude Skills Factory","task-skills-2","Seed Kanban with current projects","done","medium","setup; completed","Add initial data for ongoing projects to the Kanban board","2026-02-08T05:06:56.861Z"
"Claude Skills Factory","task-skills-3","Add file attachments support","ideas","low","enhancement","Allow uploading files to tasks (store as base64 in localStorage)","2026-02-08T05:06:56.861Z"
"Claude Skills Factory","task-skills-4","Add keyboard shortcuts","ideas","low","ux","n = new task, / = search, esc = close modal, etc.","2026-02-08T05:06:56.861Z"
"Claude Skills Factory","task-skills-5","Export/Import board data","ideas","low","feature","Allow exporting projects as JSON and importing from backup","2026-02-08T05:06:56.861Z"
"n8n Workflow Factory","task-n8n-1","Financial Analysis Workflow","done","high","workflow","FMP API integration for financial ratios and analysis","2026-02-08T05:06:56.861Z"
"n8n Workflow Factory","task-n8n-2","AI Newsletter workflow","done","medium","workflow","Automated AI news aggregation and email delivery","2026-02-08T05:06:56.861Z"
"n8n Workflow Factory","task-n8n-3","MCP Monitor workflow improvements","todo","medium","","Add error handling and retry logic to MCP monitoring","2026-02-08T05:06:56.861Z"
"n8n Workflow Factory","task-n8n-4","Document workflow best practices","in-progress","medium","docs","Create guide for n8n cloud memory limits and expression syntax","2026-02-08T05:06:56.861Z"
"Real-Time Market Commenter v3.0","task-mkt-1","Design market data architecture","done","high","architecture; v1.1","Define data sources for real-time market data: SPY, QQQ, sector ETFs (XLF, XLK, XLE, XLV, XLI, XLP, XLU, XLY, XLC, XLRE, XLB), VIX, breadth indicators (TICK, ADD, VOLD)","2026-02-08T05:06:56.861Z"
"Real-Time Market Commenter v3.0","task-mkt-2","Set up Telegram bot","done","high","infrastructure; v1.1","Create Telegram bot via BotFather, get API token, set up channel for market updates. Configure n8n Telegram node credentials.","2026-02-08T05:06:56.861Z"
"Real-Time Market Commenter v3.0","task-mkt-3","Build 30-minute market snapshot collector","done","high","workflow; v1.1","n8n workflow triggered every 30 min during market hours (9:30 AM - 4:00 PM ET). Collect: index levels, % changes, sector performance, VIX level, market breadth.","2026-02-08T05:06:56.861Z"
"Real-Time Market Commenter v3.0","task-mkt-4","Create Claude commentary prompt","done","high","ai; v1.1","Design prompt for Claude to generate savvy market commentary. Include: current vs previous snapshot comparison, sector rotation analysis, sell-off/rally detection, institutional flow hints.","2026-02-08T05:06:56.861Z"
"Real-Time Market Commenter v3.0","task-mkt-11","Deploy v1.1 with hardcoded credentials","testing","urgent","deployed; v1.1","Deployed Market Commenter v1.1 to n8n with hardcoded FMP, Anthropic, and Telegram credentials. Ready for testing.","2026-02-08T05:06:56.861Z"
"Real-Time Market Commenter v3.0","task-mkt-12","Deploy v1.2 with intensity scoring","testing","high","deployed; v1.2","Deployed Market Commenter v1.2 with 5-factor intensity scoring system. Score displayed in Telegram messages with visual indicators.","2026-02-08T05:06:56.861Z"
"Real-Time Market Commenter v3.0","task-mkt-13","Deploy v1.3 with sector rotation detection","testing","high","deployed; v1.3","Deployed Market Commenter v1.3 with enhanced sector rotation analysis: regime detection, group performance, relative strength, and actionable insights.","2026-02-08T05:06:56.861Z"
"Real-Time Market Commenter v3.0","task-mkt-5","Implement sector rotation detection","done","medium","feature; v1.3","Enhanced rotation detection: regime identification (defensive/cyclical/growth/energy/financials), group performance vs SPY, relative strength scoring, rotation breadth, divergence analysis, and actionable implications.","2026-02-08T05:06:56.861Z"
"Real-Time Market Commenter v3.0","task-mkt-6","Add sell-off/rally intensity scoring","done","medium","feature; v1.2","Implemented 5-factor intensity scoring (1-10 scale): sector breadth, volume vs average, VIX change, index conviction, move magnitude. Each factor contributes 0-2 points.","2026-02-08T05:06:56.861Z"
"Real-Time Market Commenter v3.0","task-mkt-7","Implement intraday trend tracking","done","medium","feature","Track SPY/QQQ trend throughout day: morning gap, midday drift, power hour action. Store snapshots to compare progression. COMPLETED: Session phase detection (opening/morning/midday/afternoon/power hour), gap analysis with fill status, range position tracking, trend direction from open, and momentum assessment.","2026-02-08T05:06:56.861Z"
"Real-Time Market Commenter v3.0","task-mkt-8","Add pre-market and after-hours summaries","done","low","enhancement; v1.4","Added 3 session types: Pre-Market (9:00 AM ET), Intraday (every 30 min), After-Hours (4:30 PM ET). Each session has tailored Claude prompts and Telegram formatting.","2026-02-08T05:06:56.861Z"
"Real-Time Market Commenter v3.0","task-mkt-14","Deploy v1.4 with pre/after-hours summaries","testing","high","deployed; v1.4","Deployed Market Commenter v1.4 with 3 session types: pre-market briefing, intraday updates, and end-of-day summaries.","2026-02-08T05:06:56.861Z"
"Real-Time Market Commenter v3.0","task-mkt-15","Deploy v1.5 with intraday trend tracking","testing","high","deployed; v1.5","Deployed Market Commenter v1.5 with comprehensive intraday trend analysis: session phases (opening/morning/midday/afternoon/power hour), gap analysis with fill status, range position tracking, and momentum assessment.","2026-02-08T05:06:56.861Z"
"Real-Time Market Commenter v3.0","task-mkt-9","Include key economic events context","done","low","v2.0","COMPLETED v2.0: Enhanced economic calendar with Fed event tracking (FOMC, Powell, Rate Decision), high/medium/low impact categorization, Fed day alerts, and economic data context in Claude prompts and audio narration.","2026-02-08T05:06:56.861Z"
"Real-Time Market Commenter v3.0","task-mkt-10","Add technical levels to commentary","done","low","enhancement","COMPLETED: Added pivot points (PP, R1, R2, S1, S2), nearest support/resistance detection, round number levels, and pivot position tracking. Fixed JSON template error with new Build Claude Prompt node.","2026-02-08T05:06:56.861Z"
"Real-Time Market Commenter v3.0","task-mkt-16","Deploy v1.6 with technical levels + JSON fix","testing","high","deployed; v1.6; bugfix","Deployed Market Commenter v1.6 with technical levels (pivots, S/R, round numbers) and fixed JSON template error by adding a Build Claude Prompt Code node.","2026-02-08T05:06:56.861Z"
"Real-Time Market Commenter v3.0","task-mkt-17","Earnings calendar integration","done","high","v2.0","Track major earnings releases (AAPL, NVDA, TSLA, etc.) and mention in commentary when companies are reporting. COMPLETED: Uses FMP earning_calendar endpoint with 35+ major symbols tracked.","2026-02-08T05:06:56.861Z"
"Real-Time Market Commenter v3.0","task-mkt-18","Fed Watch integration","done","high","v2.0","Fed Watch / Treasury rates monitoring. COMPLETED: Tracks 2Y, 10Y, 30Y yields, yield curve status (Inverted/Flat/Normal), rate outlook (Cuts/Hikes Expected/Stable).","2026-02-08T05:06:56.861Z"
"Real-Time Market Commenter v3.0","task-mkt-19","Sector rotation strength scoring","done","high","v2.0","COMPLETED: 0-100 rotation strength score with confidence levels (High/Medium/Low), regime detection (Risk-On/Risk-Off/Growth), dispersion analysis, and weighted sector performance.","2026-02-08T05:06:56.861Z"
"Real-Time Market Commenter v3.0","task-mkt-20","Options flow context","done","high","v2.1","COMPLETED v2.1: Integrated SPY options flow analysis with put/call ratios, volume metrics, unusual activity detection (vol/OI > 0.5), and sentiment indicators (BULLISH/BEARISH/NEUTRAL). Shows top 5 unusual strikes with high volume.","2026-02-08T05:06:56.861Z"
"Real-Time Market Commenter v3.0","task-mkt-21","Historical comparison","done","high","v2.1","COMPLETED v2.1: SPY price compared vs yesterday close, 5-day moving average, and 20-day moving average with trend indicators (ABOVE/BELOW). Shows % difference from each timeframe for context.","2026-02-08T05:06:56.861Z"
"Real-Time Market Commenter v3.0","task-mkt-22","News sentiment aggregation","done","medium","v2.0","COMPLETED v3.0: FMP stock_news endpoint aggregates SPY/QQQ news with sentiment classification (BULLISH/BEARISH/MIXED). Top headlines included in Claude prompt and Telegram display.","2026-02-08T05:06:56.861Z"
"Real-Time Market Commenter v3.0","task-mkt-23","Treasury yields (2Y, 10Y)","done","medium","v2.0","COMPLETED: Included in Fed Watch integration - tracks 2Y, 10Y, 30Y yields with yield curve status detection and rate outlook analysis.","2026-02-08T05:06:56.861Z"
"Real-Time Market Commenter v3.0","task-mkt-24","Dollar index (DXY) tracking","done","medium","v2.0","COMPLETED v3.0: Tracks UUP (Dollar Bull ETF) as proxy for DXY. Shows trend direction and market implication in Claude prompt and Telegram display.","2026-02-08T05:06:56.861Z"
"Real-Time Market Commenter v3.0","task-mkt-25","Crypto correlation (BTC/ETH)","done","medium","v2.0","COMPLETED v3.0: Tracks BTC and ETH prices with risk signal classification (RISK-ON/RISK-OFF/NEUTRAL). Shows crypto sentiment as risk gauge in Claude prompt and Telegram.","2026-02-08T05:06:56.861Z"
"Real-Time Market Commenter v3.0","task-mkt-26","Multiple TTS voice options","done","medium","v2.0","COMPLETED v3.0: 4 voice rotation by session type - Adam (Pre-Market, professional), Rachel (Market Open/Mid-Day, conversational), Antoni (Market Close, calm), Bella (Friday Recap, engaging).","2026-02-08T05:06:56.861Z"
"Real-Time Market Commenter v3.0","task-mkt-27","Audio speed control","done","medium","v2.0","COMPLETED v3.0: Dynamic speed control - 1.1x for intraday updates (faster pace), 1.0x for all other sessions. Configurable per session type.","2026-02-08T05:06:56.861Z"
"Real-Time Market Commenter v3.0","task-mkt-28","Weekly summary (Friday recap)","done","low","v2.0","COMPLETED v3.0: Friday Recap Trigger at 4:45 PM ET fires weekly recap session. Dedicated Bella voice (engaging style) for weekly summaries.","2026-02-08T05:06:56.861Z"
"Real-Time Market Commenter v3.0","task-mkt-29","Portfolio-specific alerts","done","low","v2.0","COMPLETED v3.0: Watchlist of 10 stocks (AAPL, MSFT, NVDA, GOOGL, AMZN, META, TSLA, JPM, V, UNH) with 2% move threshold alerts. Big movers shown in Telegram and Claude prompt.","2026-02-08T05:06:56.861Z"
"Real-Time Market Commenter v3.0","task-mkt-30","Telegram inline keyboard","done","low","v2.0","COMPLETED v3.0: 2x2 inline keyboard with URL buttons - Full Chart (dynamic QuickChart URL), Market News (Finviz map), Sector Map (Finviz groups), Options Flow (Unusual Whales).","2026-02-08T05:06:56.861Z"
"Real-Time Market Commenter v3.0","task-mkt-31","Chart generation","done","low","v2.0","COMPLETED v3.0: SPY chart generated via QuickChart.io API showing 20-day price history with 5-day moving average overlay. Chart image fetched and sent as photo to Telegram.","2026-02-08T05:06:56.861Z"
"Real-Time Market Commenter v3.0","task-mkt-32","Multi-channel support","done","low","v2.0","COMPLETED v3.0: Discord webhook node added (disabled by default, ready to configure with webhook URL). Telegram remains primary channel.","2026-02-08T05:06:56.861Z"
"Real-Time Market Commenter v3.0","task-mkt-33","Backtesting mode","done","low","v2.0","COMPLETED v3.0: Webhook trigger at POST /market-commenter-backtest accepts historical date and session parameters. Routes through same pipeline for replay analysis.","2026-02-08T05:06:56.861Z"
"Fiscal Platform","task-fiscal-1","Project setup with Next.js 15","done","high","setup; completed","Initialize Next.js 15 with App Router, React 19, TypeScript, Tailwind CSS, shadcn/ui. Dark mode by default.","2026-02-08T05:06:56.861Z"
"Fiscal Platform","task-fiscal-2","FMP API client integration","done","high","api; completed","Built comprehensive FMP API client with 25+ endpoints: quotes, profiles, key metrics, ratios, financials, historical prices, news, earnings, estimates, ownership, filings, screener.","2026-02-08T05:06:56.861Z"
"Fiscal Platform","task-fiscal-3","Dashboard layout with vertical navigation","done","high","ui; completed","Created main layout with vertical nav: Dashboard, Analysis, Charting, Screener, Resources, Settings. Dark theme styling.","2026-02-08T05:06:56.861Z"
"Fiscal Platform","task-fiscal-4","Portfolio store with Zustand","done","high","state; completed","Implemented portfolio state management with localStorage persistence. Holdings CRUD, watchlist, recent searches, selected metrics.","2026-02-08T05:06:56.861Z"
"Fiscal Platform","task-fiscal-5","Dashboard Summary tab","done","high","feature; completed","Built Summary tab with: CompanyTable (holdings with live quotes), PortfolioStatistics (aggregate stats), HoldingsDonutChart (4 views: Holdings/Sector/Industry/Country).","2026-02-08T05:06:56.861Z"
"Fiscal Platform","task-fiscal-6","Dashboard Performance tab","done","medium","feature; completed","Built Performance tab showing historical returns for all holdings: 1D, 1W, 1M, 3M, 6M, YTD, 1Y, 3Y, 5Y, 10Y. Color-coded positive/negative.","2026-02-08T05:06:56.861Z"
"Fiscal Platform","task-fiscal-7","Dashboard News tab","done","medium","feature; completed","Built News tab aggregating news for all portfolio holdings. Filter by symbol, sorted by date, with images and source attribution.","2026-02-08T05:06:56.861Z"
"Fiscal Platform","task-fiscal-8","Column selector for metrics","done","medium","feature; completed","Built ColumnSelector component allowing users to customize which metrics appear in the holdings table. Organized by category.","2026-02-08T05:06:56.861Z"
"Fiscal Platform","task-fiscal-9","Analysis module - Search page","done","high","feature; completed","Built Analysis search page with ticker search, portfolio quick links, watchlist, and recent searches.","2026-02-08T05:06:56.861Z"
"Fiscal Platform","task-fiscal-10","Analysis module - Company layout","done","high","feature; completed","Built [symbol] layout with company header (logo, price, change) and sub-navigation: Overview, Financials, News, Dividends, Filings, Estimates, Ownership, IR, Research, Industry, Modeling.","2026-02-08T05:06:56.861Z"
"Fiscal Platform","task-fiscal-11","Analysis Overview page","done","high","feature; completed","Built Overview page with: company description, price target consensus, key statistics (12 metrics), profitability metrics, financial health ratios.","2026-02-08T05:06:56.861Z"
"Fiscal Platform","task-fiscal-12","Analysis Financials page","done","high","feature; completed","Built Financials page with tabbed view: Income Statement, Balance Sheet, Cash Flow. Annual/Quarterly toggle, 10 years of data.","2026-02-08T05:06:56.861Z"
"Fiscal Platform","task-fiscal-13","Analysis sub-pages (News, Dividends, Filings, Estimates, Ownership, IR, Research, Industry, Modeling)","done","medium","feature; completed","Built remaining 9 Analysis sub-pages: company news, dividend history with yield, SEC filings browser, analyst estimates table, institutional/insider ownership, earnings calendar, external research links, industry peer comparison, financial modeling placeholder.","2026-02-08T05:06:56.861Z"
"Fiscal Platform","task-fiscal-14","Fix TypeScript compilation errors","done","urgent","bug-fix; completed","Fixed all TypeScript errors: Next.js 15 async params, FMP type issues, historical price response structure, parameter types, DateTimeFormatOptions.","2026-02-08T05:06:56.861Z"
"Fiscal Platform","task-fiscal-15","Test full application flow","testing","high","testing","Test all features: add holdings, view dashboard tabs, navigate analysis pages, verify API data loading.","2026-02-08T05:06:56.861Z"
"Fiscal Platform","task-fiscal-16","Charting module with TradingView","backlog","high","feature","Build Charting page with TradingView Lightweight Charts: candlestick charts, technical indicators, drawing tools.","2026-02-08T05:06:56.861Z"
"Fiscal Platform","task-fiscal-17","Screener module","backlog","medium","feature","Build stock screener with filters: market cap, P/E, sector, industry, dividend yield, etc. Use FMP screener API.","2026-02-08T05:06:56.861Z"
"Fiscal Platform","task-fiscal-18","Settings module","backlog","low","feature","Build Settings page: theme toggle (dark/light), API key management, data preferences, export/import portfolio.","2026-02-08T05:06:56.861Z"
"Fiscal Platform","task-fiscal-19","Deploy to Vercel","backlog","medium","deployment","Deploy application to Vercel with environment variables for FMP API key. Set up custom domain if desired.","2026-02-08T05:06:56.861Z"
"Fiscal Platform","task-fiscal-20","Add portfolio value chart","backlog","medium","enhancement","Build historical portfolio value chart showing total value over time. Calculate based on holdings and historical prices.","2026-02-08T05:06:56.861Z"
"Fiscal Platform","task-fiscal-21","Add transaction history","backlog","low","enhancement","Track buy/sell transactions with dates, prices, and quantities. Calculate realized gains/losses.","2026-02-08T05:06:56.861Z"
"Moltbot on Synology NAS","task-moltbot-1","Verify NAS compatibility","phase1","urgent","prerequisite","Check Landino-NAS has x86_64 CPU (Intel/AMD), DSM 7.2+, and at least 2GB RAM free. ARM models will not work.","2026-02-08T05:06:56.861Z"
"Moltbot on Synology NAS","task-moltbot-2","Install Container Manager","phase1","high","infrastructure","Install Container Manager (Docker) from Synology Package Center if not already installed.","2026-02-08T05:06:56.861Z"
"Moltbot on Synology NAS","task-moltbot-3","Create dedicated shared folder","phase1","high","security","Create ""moltbot_data"" shared folder for isolation. Disable Recycle Bin, enable data checksum. This folder contains ALL Moltbot data.","2026-02-08T05:06:56.861Z"
"Moltbot on Synology NAS","task-moltbot-4","Create dedicated service user","phase1","high","security","Create ""moltbot_svc"" user with NO admin privileges. Grant Read/Write ONLY on moltbot_data, No Access on all other folders.","2026-02-08T05:06:56.861Z"
"Moltbot on Synology NAS","task-moltbot-5","Enable SSH temporarily","phase1","medium","infrastructure","Enable SSH for initial setup: Control Panel > Terminal & SNMP > Enable SSH. Disable after installation.","2026-02-08T05:06:56.861Z"
"Moltbot on Synology NAS","task-moltbot-6","Create directory structure via SSH","phase2","high","setup","SSH into NAS and create: /volume1/moltbot_data/config, /volume1/moltbot_data/state, /volume1/moltbot_data/compose. Set ownership to moltbot_svc.","2026-02-08T05:06:56.861Z"
"Moltbot on Synology NAS","task-moltbot-7","Create docker-compose.yml","phase2","urgent","security; docker","Create hardened docker-compose.yml with: security_opt no-new-privileges, cap_drop ALL, read_only true, mem_limit 2g, cpus 2.0, pids_limit 256, bind to localhost only.","2026-02-08T05:06:56.861Z"
"Moltbot on Synology NAS","task-moltbot-8","Configure environment variables","phase2","high","config","Set MOLTBOT_STATE_DIR, NODE_ENV=production. Add AI API key (Gemini recommended - free and generous limits vs Claude API costs).","2026-02-08T05:06:56.861Z"
"Moltbot on Synology NAS","task-moltbot-9","Configure DSM Firewall","phase3","urgent","security; network","Enable firewall: DENY Docker subnet (172.30.0.0/24) to LAN (192.168.x.x), ALLOW Docker to internet port 443, ALLOW local machine to NAS:18789.","2026-02-08T05:06:56.861Z"
"Moltbot on Synology NAS","task-moltbot-10","Disable external access","phase3","high","security","Disable DDNS for Moltbot ports. Do NOT port-forward 18789 on router. Access only from LAN.","2026-02-08T05:06:56.861Z"
"Moltbot on Synology NAS","task-moltbot-11","Deploy via Container Manager","phase4","urgent","deployment","Container Manager > Project > Create. Name: moltbot, Path: /volume1/moltbot_data/compose. Build and deploy.","2026-02-08T05:06:56.861Z"
"Moltbot on Synology NAS","task-moltbot-12","Run onboarding wizard","phase4","high","setup","Via SSH: docker exec -it moltbot-gateway sh -c ""node dist/index.js onboard"". Set gateway token and AI provider.","2026-02-08T05:06:56.861Z"
"Moltbot on Synology NAS","task-moltbot-13","Access Control UI and configure","phase4","high","config","From LAN computer: http://landino-nas:18789/. Paste gateway token. Configure Moltbot internal sandbox (mode: all, workspaceAccess: none).","2026-02-08T05:06:56.861Z"
